feature,coef,abs_coef
CholCheck,1.2936681856379404,1.2936681856379404
HvyAlcoholConsump,-0.7573773225641952,0.7573773225641952
HighBP,0.7381938987485441,0.7381938987485441
GenHlth,0.6177027291693028,0.6177027291693028
HighChol,0.5822072554837037,0.5822072554837037
BMI,0.49037832299965967,0.49037832299965967
Age,0.45630874703449975,0.45630874703449975
Sex,0.2827046100784248,0.2827046100784248
HeartDiseaseorAttack,0.2510959686345114,0.2510959686345114
Stroke,0.18520312858668025,0.18520312858668025
Income,-0.12039013945077451,0.12039013945077451
DiffWalk,0.10271925230113652,0.10271925230113652
AnyHealthcare,0.07673834603239586,0.07673834603239586
Fruits,-0.07120826827016542,0.07120826827016542
PhysHlth,-0.05813277186384497,0.05813277186384497
NoDocbcCost,0.04584118458614769,0.04584118458614769
PhysActivity,-0.04497328098563942,0.04497328098563942
Education,-0.03732724465896519,0.03732724465896519
MentHlth,-0.03224125468291957,0.03224125468291957
Veggies,-0.018088516300483404,0.018088516300483404
Smoker,0.005165601678994687,0.005165601678994687
